Asia-Afrika	아시아-아프리카
majong, majun	(기계를 닦는) 걸레, 헝겊, 마포
maju	앞으로 나가다, 전진하다
kemajuan	전진, 발전, 번영
maju dengan pesat	번창하다, 번영하다, 잘 자라다, 무성하다
maju terus	전진적[향상적]인, 전진하는
memajukan	현대화하다, 현대적으로 하다
memajukan pendidikan	교화[훈도]하다, ~의 품성을 높이다
pemajuan	전진, 진출, 발전, 전보
majud	마곡 족
majuh	탐내는, 욕심 많은, 많이 먹는
majun [1]	정력제, 강장제
majun [2]	(기계 따위를 닦는)천, 헝겊, 걸레
majung	판자 등의 틈을 메우는 접착제
majus, orang majus	동방박사
datanglah orang-orang majus dari Timur ke Yerusalem	(동방으로부터 박사들이 예루살렘에 이르러 말하되 마
mak [1]	어머니, 모친, 연상의 여자에 대한 존칭
mak [2]	외숙, 이모
maka	그 다음(에), 그 위에, 따라서, 그러므로, 그래서
makanya	결과적으로, 고로, 그 때문에
	(하나님의 의를 먼저 구하라, 그리하면 이 모든 것을 너희에게 더하시리라 (마
makalah	(신문의)기사, 논설
makam [1]	거주지, 체재지, 주거
bermakam	거주하다, 살다, 머무르다
makam [2]	묘, 묘지
bermakam	묻히다, 안장되다
makam besar & indah	장려한 무덤, 영묘(靈廟), 능(陵)
memakamkan	~의 장례식을 하다, 매장하다
pemakaman	장례식, 매장, 매장식
pemakaman negara	국장(國葬)
makam [3]	신비주의자의 고행의 길
makan, bersantap	먹다, 소실 시키다, 소요되다, 복용하다
kemakanan	소실된, 전소된, 타 버린
makan yang banyak	많이 먹다
makan dengan rakus	폭음하다, 꿀꺽꿀꺽 마시다
makan seadanya	(손님에게 내는) 있는 것으로만 장만한 요리
makanan	음식물, 식품, 식량, 먹을 것
makanan dewa	신의 음식, 신찬(神饌)
makanan pencuci mulut	디저트(식후의 푸딩·파이 따위, 영국에서는 주로 과자류)dessert
makanan ringan	간식, 가벼운 음식
makanan-makanan	비큐나(남아메리카 산 야생의 야마), 그 털로 짠 나사victuals
makan-makanan	여러 종류의 음식물
memakan	끼니, 먹거리, 음식
memakani	음식을 먹이다, 먹고 살다
pemakan	먹는 사람, 소비자, 애호가
pemakan bawang	성미가 급한 사람
pemakan darah	흡혈귀, 거머리, 폭리를 취하는 사람
termakan	먹은, 삼켜 버리다, 먹을 수 있는
makantah	토지 담보계약서(설정)
makantuh	서로 돕다 (미나바사 지방에서)
makao, benang makao	마카오산 실
makao-po	(중국계) 창녀, 매춘부
makar [1]	간계, 계략, 책략
makar [2]	(과일이) 익지 않은, 덜 익은
makara [1]	염소자리, 마갈궁(磨羯宮)
makara [2]	고대 자와의 조각에 표현된 동물그림
makara [3]	산양좌(座)
makaroni	마카로니, 국수
makas, keras makas	돌처럼 단단한, 견고한
makbud	(병의) 회복, 쾌유
makbul	대답, 회답, (응)답
Obat ini makbul sekali	(이 약은 아주 효험이 있다)
makcomblang	중매쟁이
makdan	광(鑛), 광산
makelar	(거래상의) 중개인, 부로커, (결혼) 중매인
makelaran	중개시스템
makena(h), mukena(h)	(여자들이) 기도할 때 얼굴, 머리를 가리는 천
makerel	고등어과의 바다 물고기
maket	모형
makhudum, mahdum	선지자님(종교지도자의 호칭)
makhluk	(신의) 창조물, 피조물
makhluk hidup	죽을 수 밖에 없는 운명의
maksud, ajun	목적, 의도, 의향, 의사
makhraj	조음 기관, 발음
maki, makian	욕, 욕설, 악담, 독설
maki-maki	욕, 욕지거리, 남용, 오용, 악용
maki-makian	갖은 욕설
memaki	욕하다, 욕질하다
memaki-maki	갖은 욕설을 퍼붓다
makin, semakin	점점, 더욱 더
makin ~ semakin~	~할수록 ~하다
semakin dekat	더욱 가까이
	(봉급이 많아질수록 그는 점점 게을리 일했다)
making	악취 나는
makjun	강장제
maklaf	말 구유
maklum	알다, 인지하다, 물론, 당연한
me(mper)maklumkan	알리다, 통지하다, 발표하다
memaklumi	~에 대하여 알다
permakluman	통지, 발표, 알림, 선언
maklumat	선언, 선고, 통지
makmal	(지방의)실험실, 시험실
makmum	(종교적인) 집회, 모임
makmur	번영하는, 번창하는, 풍부한, 유복한
kemakmuran	번영, 번창, 융성
makna, arti, maksud	의미, 뜻, 목적, 의도
apa maknanya bekerja sekeras itu?	(그렇게 열심히 일하는 의도는 무엇입니까?)
bermakna	의미를 가진, 의미 심장한
Tiap kata itu bermakna	(모든 단어는 뜻을 가지고 있다)
memaknakan	주석을 달다, 뜻을 밝히다
maknawi	정신상의, 심령의, 중요한
maknit	자석, 자철
kemaknittan	자기, 자성, 자기작용
makota	왕관, 통치자, 애인
makrame	매듭 (수)공예
makrifat	지식
maksiat	부도덕한, 음란한, 외설한
kemaksiatan	(종교상·도덕상의) 죄, 죄악
maksimal	최고(값)의, 최대한의
maksimum	최대, 최대한(도), 최대량[수]
maksud	의미, 의도, 뜻
maksud mu	무슨 뜻입니까?
maktub	기록, 기입, 등록, 레코드, 음반
memaktubkan	적다, 쓰다, 기록하다
termaktub, tertukis	기록된, 적힌, 쓰여 있는
Hal itu termaktub dalam bukunya	(그 것에 관한 일은 책 안에 기록돼 있다)
makua	고릴라의 일종(아프리카 산)
makul	논리상의, 논리적인, 이성적인
makulat	형이상학, 순정철학
makurung	가택 연금(발리지방에서 봉사활동 미동참시 15일간의 처벌)
makyung, mayung	연극
makzul, mazul	해고 다하다, 폐위당한
memazulkan	폐위하다, 면직하다
mal [1]	(돌 기둥·책상 다리의) 췻 부분, 받침대
mal [2], baitulmal	보물, 재산
mal [3]	도자기의 화병 모형(주조)
mala [1]	천재, 재해, 재난, 참사, 흉사, 큰 불행
mala [2]	흠, 결함, 오점, 때, 불명예
mala [3], layu	시들은
mala [4], danur	시체가 부패한, 송장 썩은 물
mala [5]	마법의 힘을 가진 금기 표시(띠모르 지방에서)
mala [6], buruk	낡은, 나쁜, 비정상의
malabau	악취
malah [1]	도리어, 오히려, 그에 반하여, 그 대신에
	(약을 먹었더니 오히려 더욱 아팠다)
malahan	그에 반하여, 오히려, 더욱이
	(그는 노는 것을 그치기는 커녕, 계속 놀기만 했다)
	(네가 안그러면 나는 더욱 안 그렇다)
malah [2]	자
malah begitu, kalau	만약 그렇다면
malai	다발, 이삭, 화환, 체인
bermalaikan	화환(화관)을 사용하다
memalai	화환처럼 되다, 화환으로 장식하다
malaikat, malaik, malak	천사
malaikatulmaut	죽음의 천사
malaikat utama	(카톨릭교·그리스 정교의) 대주교
malaise	불황, 대공황, 불경기
Malaka [1]	말라카 (말레이반도의 남서부)
malaka [2]	나무의 일종
buah si malakama	선악과
malakat, kerajaan	왕국
malakit	청동광석
malakofili	수분(授粉)(꽃이 달팽이에 의해)
malakologi	연체 동물학
malakut, alam malakut	천사의 나라, 왕권, 왕위
malam [1]	밤, 저녁, 어둠
bermalam	밤을 지내다, 묶다
malam-malam	늦은 밤, 심야
Mengapa malam-malam datang di sini?	(왜 늦은 밤에 여기 왔나요?)
memalami	(환자를) 밤을 지새우며 돌보다
	(어머니는 이틀 동안이나 밤을 지새우며 그를 간호했다)
kemalaman	밤이 된, 길이 저문
malamnya	전 날 밤에
mempermalamkan	밤을 새우게 하다, 묵게하다
pe(r)malaman	숙소, 여관
semalam	하룻밤, 밤새도록
semalam-malaman	저녁 내내
Smalam-malaman sepicing pun dia tidur	(밤새도록 그는 한숨도 안잤다)
malam [2]	밀랍, 파라핀랍
malan	(슬픔·걱정 등으로) 기분이 좋지 않은
malang	불행한, 불운의
kemalangan	불행, 재난, 불운
malang mujur	닥치는 대로, 되는 대로
malangbang, malambang	목선(木船)
malap	(빛이) 희미한, 어슴프레한, 불이 꺼져가는
Lampu itu terlalu malap	(그 등불은 너무 희미하다)
Malap sebagai pelita kekurangan minyak	(기름이 다 된 등불처럼 꺼져가는)
malapetaka, mala	재난, 불운, 환난, 큰 불행
malapraktek [malaprakték]	오진(誤診)
malar, sepanjang waktu	항상, 계속해서, 줄곧, ~하기는 커녕
Dia malar menangis anaknya	(그는 아들을 생각하며 계속 울었다)
Bukan berhenti, malar-malar berlari lebih cepat	(그는 멈추기는 커녕 더 빨리 달렸다)
malaria	말라리아
malas [1]	게으른, 나태한, 꾸물거리는
bermalas-malas	빈둥거리다, 한가롭게 쉬다
kemalasan	게으름, 나태, 태만
memalaskan	나태하게 만들다
Hawa panas memalaskan saya bekerja	(더운 날씨가 나의 일을 태만하게 만든다)
pemalas	게으름뱅이, 태만한 사람
malas [2]	~하고 싶지 않은, ~할 마음이 내키지 않는
	(나는 오늘 저녁에는 영화를 보러 가고 싶지 않다)
malasia	세포 조직의 유연성
malasuai	알맞지 않은, 부적합한
malatindak	직권 남용
malau, embalau	유지, 셸렉
malaun	저주받은, 천벌 받은, 가증스러운
Malaysia	말레이시아 연방(수도
male	아이를 낳지 못하는 여인의 호칭(아쩨지방)
maleman	금식 월 하순(20일 이후)
maleo [maléo]	새의 일종
maleolus [maléolus], mata kaki	복사뼈
mali-mali	작은 식물류
maligai	궁전, 대궐
malih	변하다, 변신하다
Ulta sudah malih menjadi kupu-kupu	(유충은 변하여 나비가 되었다)
malik	소유주, 소유자, 왕, 임금
Almalik	왕중 왕(王中王)--- 알라신을 의미
Maliki	회교법 학파 중
Malikuljabar	전지 전능의 왕(알라신)
Malikulmuluk	절대 권력자 (알라신)
malim, mualim	종교인, 성자, 종교학자
maling, pemaling	도둑, 도적, 훔치다
kemalingan	도둑맞은, 절도 당한
	(나는 당신 집에 도둑이 들었었는지 몰랐다)
memalingi	~로부터 훔치다, 도둑질 하다
pemaling	도둑, 도적, 훔치다
malis	(색이)바랜, 희미해 진, 몽롱한
Warna bajuku sudah malis	(내 옷의 색이 바랬다)
	(그 냄새는 여기서도 아직도 어렴풋이 맡을 수 있다)
malisol	석간주(초콜릿 색을 띈 알칼리성 염분이 있는 흙)
malka	회합 장소
malnutrisi, kekurangan gizi	영양실조
maloklusi	부정 교합
malt	맥아, 엿기름
maltase	말타아제(맥아당을 포도당으로 분해시키는 효소)
maltosa	말토오제, 맥아당
malu [1]	수줍다, 부끄러워하다
bermalu	부끄러워하다
kemaluan	생식기, 외음부
kemaluan laki-laki	음경, 페니스
kemaluan wanita	음문(陰門), 질(膣)
kemalu-maluan	부끄러운, 창피한
	(그 말썽꾸러기 학생은 창피해 하며 문 앞에 서 있다)
malu-malu	소심한, 몹시 부끄럼 타는, 수줍어하는
memalui	창피를 주다, 망신시키다
memalukan	~을 부끄러워 하다
mempermalukan	부끄럽게 하다
pemalu	소심한 사람, 부끄럼 타는 사람
Perbuatan yang tidak malu	부끄럽지 않은 행동
malu [2], putri malu, si malu	함수초, 미모사
malum, maklum	유명한, 잘 알고 있는
malumat, maklumat	알림, 고지, 공표
malun, terkutuk	저주받은
malung	뱀장어
mam	엄마, 어머니, 먹다(어린이들의 말)
mama [1]	어머니
mama [2], mamah	유선, 유방
mamah [1], mama	유선, 유방
mamah [2], memamah	씹다, 씹어먹다
Sapi memamah biak	(소는 새김질을 한다)
mamahan	새김질감, 씹는 것, 잘게 부순 것
mememahkan	씹어서 주다, 입으로 깨물다
	(그녀는 단단한 과자를입으로 잘게 부수어 아이에게 주었다)
pemamah biak	반추 동물
mamai	정신이 나간 듯한, 몽롱한
bermamai	잠꼬대하다
Suatu malam ia bermamai dalam tidurnya	(어느날 그는 잠꼬대를 했다)
mamak	mamanda(경어) 외숙, 외삼촌, 이모
mamak menteri	대신, 장관(왕이 부르는 말)
mamalia	포유동물
maman, pinang	빈랑 나무
mamanda [1]	외숙, 아저씨, 이모(mamak의 경어)
mamanda [2]	민속 무대 예술(Banjar
mamang [1]	(현기증이 나서) 어지러운
Sesudah jatuh dia merasa mamang	(넘어지고 난 후 그는 어질어질 했다)
Anak kecil itu memang	(그 아이는 어리둥절했다)
mamang [2]	식물의 일종 (잎은 현기증 약제로 쓰임)
mamang [3], peribahasa	격언
mamang [4]	아저씨, 삼촌
mamano	덤불, 식물의 새싹
mamat [1]	중부 깔리만딴의 의식
mamat [2], mamut	맘모스
mambang [1], hantu, peri	유령, 귀신
mambang [2], mambang kuning	저녁 놀
mambek	(물이) 흐르지 않다, 멈추다
	(흐르지 않는 물은 모기의 안식처가 될 수 있다)
mambo	맘보(4/4박자 춤), 맘보 음악
mambruk	비둘기과의 새
mambu, berbau mambu	악취가 나는, 냄새가 진동하는
mambung	(과일 따위가) 마르고 속이 빈
mami, mi	엄마, 어머니(어린 아이들의 말)
mamik	맛이 변한, 상한
	(오랫동안 보관한 것이기 때문에 그 과자는 맛이 변했다)
mamlakat, kedaulatan	왕권, 주권
mampai	화장(火葬)
mampat [1], padat, tumpat, mampet	굳은, 단단한, 막힌, 압축된
	(속이 채워져 굳은 타이어는 사용하기 불편하다)
Saluran air itu mampat	(수도관이 막혔다)
memampatkan	굳게하다, 지혈시키다, 압착하다
mampat [2]	좋은, 우수한, 탁월한
mampat sekali, bukan?	(아주 좋네요, 그렇지 않습니까?)
mampir, singah	잠깐 들르다(방문하다)
Mapirlah kapan Saudara	bisa(가능할 때 잠깐 들르시오)
pemampiran	경유지, 기항지
	(서울은 그가 외국에 갈 때 잠깐 들르는 곳이다)
mampu, mampuh	(~할) 능력이 있는, ~해낼 수 있는 부유한, 유복한capable,
	(나는 그 일을 오늘도 엮시 끝마칠수 없다)
	(값비싼 립스틱을 사는 부유한 부인들이 많다)
kemampuan	능력, 유능, 재능, 기량, 부유, 유복
ketidakmampuan	무력, 무기력, 허약
mampung	작은 구멍이 많은, 기공(氣孔)이 있는
mampus	죽다, 사망하다, 매우 불행한
Mampus ini, uang habis semua!	(이런, 돈이 다 떨어젔구나)
Mampuslah kamu!	(지옥에나 떨어져라!)
mamut	[고대생물] 매머드, 매머드와 같은; 거대한
man [1]	무게의 단위 (약
man [2], paman	숙부, 삼촌, 아저씨
mana [1]	(의문사) 어디에(서, 로)
dikemanakan	어디에서 데려오다(가져오다), 유래하다
Dikemanakan pembunuh itu?	(어디네서 그런 살인마를 데려왔습니까?)
di mana-mana, di mana pun juga	어디든지, 어느 곳이든지
Obat itu dapat dibeli di mana-mana	(그 약은 어디에서나 살 수 있다)
di mana mungkin	가능한 한 어디든지, 어느 곳에나
ke mana saja, kemanapun	어디든지 ~하는 곳에, 무엇 때문에, 왜, 그러므로wherever
ke mana-mana	사방으로, 여러 곳으로
	(나는 사방으로 그를 찿았으나 그는 만나지 않았다)
mana lagi, mana pula	게다가, 더구나
Dia pintar, mana lagi punya uang	(그는 영리한 데다가 돈도 있다)
mana saja	~하는 어느 것[쪽]이든
mana-mana	어디든지, 도처에
Mana-mana itu diucapkan	(그 말이 도처에 전해졌다)
mana [2]	횡재, 만나(성경의 음식 이름)
manah [1]	위탁물, 위임, 신탁
manah [2], harta manah	유산
bermanah	유산을 받다, 유산을 남기다
manah [3]	마음, 호의, 주의, 감정
manai, pucat manai	(얼굴이) 핼쑥한, 창백한, (빛깔 따위가) 엷은
manajemen [manajemén]	경영, 관리, 제어
manajemeni [manajeméni]	경영(관리)하다
manajer	경영자, 지배인, 관리인
manakala, apabila	~할 때에, ~일 때에
manakan [1], bagaimana	어떻게
manakan [2], kemanakan	조카, 조카딸
manakib	위인전
manalagi [1], lagi pula	게다가, 더구나
manao	큰 등(藤) 또는 그 줄기
manasik, ibadah	종교, 예배, 숭배
manasongo	가장(家長)의 칭호(로뜨군도에서)
manasuka	임의의, 자유로운, 마음대로의
jam manasuka	선택과목, 자유시간
manat	약속, 약조, 동의, 의결
manau	큰 등나무
memanau	(등나무 줄기로)통행을 방해하다, 채찍질하다
mancanegara, mencanegara	제외국(諸外國), 타국,해외로[에]
mancaearna	다채로운, 잡색의
manci	(바닥이 판판한) 냄비, 솥
mancis, macis	성냥
mancit, tikus	쥐
mancung [1], runcung	날카로운, 뾰족한
mancung [2], seludang	(야자 따위의) 줄기 겉집, 꼬뚜기
mancur	내뿜다, 분출하다
manda [1], mamanda	외숙, 아저씨, 이모
manda [2], mandah	원하다, 참아내다, 견디다
manda [3], mandi-manda	여러 가지 목욕 의식
manda [4], kanda	형
mandah [1]	(절구통 밑에 까는) 잎 또는 껍질
mandai [1]	나무의 일종
mandai [2]	(청년이 스스로 처녀에게) 청혼하다 (깔리만탄 지방)
mandala, bulatan	영역, 범위
mandalika [1]	(주[도]지사의) 칭호, 경칭
mandalika [2], mendeleka	빵나무
mandam [1], termandam, mabuk	술 취한, 얼큰히 취한
mandam [2]	사랑에 빠진, 반한
Dia mandam akan gadis itu	(그는 그 소녀에게 반했다)
mandar	(늪에서 헤엄치는) 오리의 일종
mandarin [1]	표준 중국어
mandarin [2]	뽕깡(감귤의 일종)
mandarsah, madarsah	학교, 종교학교
mandat, perintah	지시, 위임, 명령
mandataris	수임자, 대리인, 위임의, 위임된
mandau, pedang	(깔리만탄
mandeh [mandéh], ibu	어머니
mandek	멈추다, 서다, 정지하다, 침체하다
Mobilnya mandek di tngah jalan	(차가 길 가운데서 멈추었다)
	(여기에 더 오래 있으면 내 정신이 마비될 것이다)
